,url,prize,photographer,year
1714,https://www.worldpressphoto.org/collection/photo-contest/2002/kai-wiedenhofer/1,"Singles, 3rd prize",Kai Wiedenhöfer,2002
1715,https://www.worldpressphoto.org/collection/photo-contest/2002/erik-refner-pns/1,"Stories, 2nd prize",Erik Refner,2002
1716,https://www.worldpressphoto.org/collection/photo-contest/2002/jan-grarup/1,"Stories, 1st prize",Jan Grarup,2002
1717,https://www.worldpressphoto.org/collection/photo-contest/2002/tyler-hicks/1,"Stories, 3rd prize",Tyler Hicks,2002
1718,https://www.worldpressphoto.org/collection/photo-contest/2002/james-nachtwey/1,"Stories, 2nd prize",James Nachtwey,2002
1719,https://www.worldpressphoto.org/collection/photo-contest/2002/robert-clark/1,"Stories, 1st prize",Robert Clark,2002
1720,https://www.worldpressphoto.org/collection/photo-contest/2002/richard-drew/1,"Singles, 3rd prize",Richard Drew,2002
1721,https://www.worldpressphoto.org/collection/photo-contest/2002/antoine-serra/1,"Singles, 2nd prize",Antoine Serra,2002
1722,https://www.worldpressphoto.org/collection/photo-contest/2002/luc-delahaye/1,"Singles, 1st prize",Luc Delahaye,2002
1723,https://www.worldpressphoto.org/collection/photo-contest/2002/craig-golding/1,"Stories, 2nd prize",Craig Golding,2002
1724,https://www.worldpressphoto.org/collection/photo-contest/2002/alex-garcia/1,"Stories, 1st prize",Alex Garcia,2002
1725,https://www.worldpressphoto.org/collection/photo-contest/2002/jia-guorong/1,"Singles, 3rd prize",Jia Guorong,2002
1726,https://www.worldpressphoto.org/collection/photo-contest/2002/carlos-puma/1,"Singles, 2nd prize",Carlos Puma,2002
1727,https://www.worldpressphoto.org/collection/photo-contest/2002/fred-vuich/1,"Singles, 1st prize",Fred Vuich,2002
1728,https://www.worldpressphoto.org/collection/photo-contest/2002/jens-rotzsch/1,"Stories, 3rd prize",Jens Rötzsch,2002
1729,https://www.worldpressphoto.org/collection/photo-contest/2002/christoph-gerigk/1,"Stories, 2nd prize",Christoph Gerigk,2002
1730,https://www.worldpressphoto.org/collection/photo-contest/2002/olivier-grunewald/1,"Stories, 3rd prize",Olivier Grunewald,2002
1731,https://www.worldpressphoto.org/collection/photo-contest/2002/jodi-bieber/1,"Singles, 1st prize",Jodi Bieber,2002
1732,https://www.worldpressphoto.org/collection/photo-contest/2002/marco-di-lauro/1,"Singles, 2nd prize",Marco Di Lauro,2002
1733,https://www.worldpressphoto.org/collection/photo-contest/2002/pietro-di-giambattista/1,"Singles, 3rd prize",Pietro Di Giambattista,2002
1734,https://www.worldpressphoto.org/collection/photo-contest/2002/tim-hetherington/1,"Stories, 1st prize",Tim Hetherington,2002
1735,https://www.worldpressphoto.org/collection/photo-contest/2002/ziyah-gafic-pos/1,"Stories, 2nd prize",Ziyah Gafic,2002
1736,https://www.worldpressphoto.org/collection/photo-contest/2002/julien-daniel/1,"Stories, 3rd prize",Julien Daniel,2002
1737,https://www.worldpressphoto.org/collection/photo-contest/2002/john-costello/1,"Singles, 1st prize",John Costello,2002
1738,https://www.worldpressphoto.org/collection/photo-contest/2002/martin-sasse/1,"Singles, 2nd prize",Martin Sasse,2002
1739,https://www.worldpressphoto.org/collection/photo-contest/2002/stefan-boness/1,"Singles, 3rd prize",Stefan Boness,2002
1740,https://www.worldpressphoto.org/collection/photo-contest/2002/ziyah-gafic-sats/1,"Stories, 1st prize",Ziyah Gafic,2002
1741,https://www.worldpressphoto.org/collection/photo-contest/2002/peter-granser/1,"Stories, 3rd prize",Peter Granser,2002
1742,https://www.worldpressphoto.org/collection/photo-contest/2003/vladimir-pirogov/1,"Singles, 2nd prize",Vladimir Pirogov,2003
