initial index,Path,Colors_RGB
238,F:\Temp\1965\James Bourdier\4.jpg,"[[197, 197, 197], [82, 82, 82], [119, 119, 119], [32, 32, 32], [158, 158, 158]]"
239,F:\Temp\1965\Matt Herron\4.jpg,"[[119, 119, 119], [64, 64, 64], [170, 170, 170], [220, 220, 220], [17, 17, 17]]"
240,F:\Temp\1965\Zamanianne Djahanguir\1.jpg,"[[27, 27, 27], [155, 155, 152], [197, 198, 193], [105, 105, 104], [62, 62, 61]]"
241,F:\Temp\1965\Günter R. Reitz\1.jpg,"[[71, 71, 70], [149, 149, 147], [24, 24, 24], [114, 114, 113], [186, 185, 181]]"
242,F:\Temp\1965\Eddie Adams\1.jpg,"[[112, 112, 109], [156, 157, 153], [27, 27, 27], [190, 190, 185], [67, 68, 67]]"
243,F:\Temp\1965\John Rooy\1.jpg,"[[111, 40, 21], [188, 108, 28], [226, 179, 121], [57, 22, 14], [150, 70, 26]]"
244,F:\Temp\1965\Boris C.M. Spremo\1.jpg,"[[72, 72, 72], [233, 233, 233], [114, 114, 114], [35, 35, 35], [168, 168, 168]]"
245,F:\Temp\1965\Matt Herron\1.jpg,"[[226, 226, 226], [87, 87, 87], [182, 182, 182], [21, 21, 21], [139, 139, 139]]"
246,F:\Temp\1966\Larry Burrows\1.jpg,"[[213, 128, 62], [5, 9, 10], [251, 229, 135], [90, 78, 62], [22, 51, 51]]"
247,F:\Temp\1966\James Atherton\1.jpg,"[[159, 159, 159], [54, 54, 54], [203, 203, 203], [110, 110, 110], [23, 23, 23]]"
248,F:\Temp\1966\Ekkehart Sachse\1.jpg,"[[69, 69, 69], [205, 205, 205], [27, 27, 27], [121, 121, 121], [170, 170, 170]]"
249,F:\Temp\1966\Vasily Malyshev\1.jpg,"[[14, 17, 16], [198, 185, 141], [79, 55, 38], [144, 119, 82], [27, 27, 24]]"
250,F:\Temp\1966\John Rous\1.jpg,"[[40, 40, 40], [221, 221, 221], [156, 156, 156], [96, 96, 96], [193, 193, 193]]"
251,F:\Temp\1966\Shisei Kuwabara\3.jpg,"[[101, 101, 101], [67, 67, 67], [140, 140, 140], [33, 33, 33], [192, 192, 192]]"
252,F:\Temp\1966\Kyoichi Sawada\1.jpg,"[[47, 47, 47], [195, 195, 195], [84, 84, 84], [159, 159, 159], [118, 118, 118]]"
253,F:\Temp\1966\James Atherton\1.jpg,"[[159, 159, 159], [54, 54, 54], [203, 203, 203], [110, 110, 110], [23, 23, 23]]"
254,F:\Temp\1966\Ben Meerendonk\3.jpg,"[[180, 180, 180], [24, 24, 24], [218, 218, 218], [71, 71, 71], [130, 130, 130]]"
255,F:\Temp\1966\Viacheslav Un Da-sin\1.jpg,"[[241, 241, 241], [108, 107, 105], [181, 180, 178], [34, 34, 32], [216, 215, 215]]"
256,F:\Temp\1966\John Rous\1.jpg,"[[40, 40, 40], [221, 221, 221], [156, 156, 156], [96, 96, 96], [193, 193, 193]]"
257,F:\Temp\1966\Shisei Kuwabara\4.jpg,"[[22, 22, 22], [142, 142, 142], [57, 57, 57], [189, 189, 189], [98, 98, 98]]"
258,F:\Temp\1966\Lev Porter\2.jpg,"[[23, 28, 24], [193, 195, 187], [240, 240, 237], [73, 77, 69], [141, 143, 135]]"
259,F:\Temp\1966\Friedl Ulrich\1.jpg,"[[25, 25, 25], [225, 225, 225], [125, 125, 125], [78, 78, 78], [174, 174, 174]]"
260,F:\Temp\1966\Lev Porter\1.jpg,"[[25, 29, 24], [187, 189, 181], [129, 130, 121], [240, 241, 237], [75, 77, 69]]"
261,F:\Temp\1966\Lev Porter\3.jpg,"[[239, 238, 234], [59, 63, 56], [139, 141, 131], [203, 203, 195], [20, 25, 22]]"
262,F:\Temp\1966\Shisei Kuwabara\2.jpg,"[[121, 121, 121], [73, 73, 73], [163, 163, 163], [30, 30, 30], [202, 202, 202]]"
