,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
17,Mirella,2013 Photo Contest,Daily Life,"08 January, 2012",F:\Temp\2013\Fausto Podavini,"Mirella was married to her husband Luigi for over 40 years. At the age of 65, Luigi began to show symptoms of Alzheimer’s disease. For six years, Mirella cared for Luigi herself, at home in Rome.",1st prize,Fausto Podavini,2013
18,At the Dining Hall,2013 Photo Contest,Daily Life,"12 October, 2012",F:\Temp\2013\Jacob Ehrbahn,"Every day, John McLean (65), visits the St Vincent de Paul Society Dining Hall, in Youngstown, Ohio.",3rd prize,Jacob Ehrbahn,2013
19,Early morning,2013 Photo Contest,Daily Life,"08 July, 2012",F:\Temp\2013\Søren Bidstrup,"The photographer’s family, early one morning on summer holiday in northern Italy.",2nd prize,Søren Bidstrup,2013
20,Football in Guinea-Bissau,2013 Photo Contest,Daily Life,"03 March, 2012",F:\Temp\2013\Daniel Rodrigues,"Youths play football on a field that was once part of a military barracks, in the village of Dulombi, Galomaro, Guinea-Bissau.",1st prize,Daniel Rodrigues,2013
21,In the Shadow of Wounded Knee,2013 Photo Contest,Contemporary Issues,"01 May, 2012",F:\Temp\2013\Aaron  Huey,"The Oglala Lakota people of the Pine Ridge Reservation in South Dakota live near the site of the massacre of over 250 Lakota Sioux, at Wounded Knee Creek (1890). They recount a long history of violated treaties and broken promises on the part of successive US governments.",3rd prize,Aaron  Huey,2013
22,The Pink Choice,2013 Photo Contest,Contemporary Issues,"10 July, 2011",F:\Temp\2013\Maika Elan,"Vietnam has historically been unwelcoming to same-sex couples, but in 2012 the Vietnamese government announced it was considering recognizing same-sex marriage, a move that would make it the first Asian country to do so.",1st prize,Maika Elan,2013
23,Barcelona Demonstrations,2013 Photo Contest,Contemporary Issues,"29 March, 2012",F:\Temp\2013\Emilio Morenatti,"Mireia Arnau (39) reacts behind the broken glass of her shop, stormed by demonstrators clashing with police in Barcelona, during a general strike on 29 March.",3rd prize singles,Emilio Morenatti,2013
24,Victims of Forced Love,2013 Photo Contest,Observed Portraits,"18 December, 2012",F:\Temp\2013\Ebrahim Noroozi,"Somayeh Mehri (29) and Rana Afghanipour (3) are a mother and daughter living in Bam, southern Iran. They were attacked with acid by Somayeh’s husband Amir.",1st prize,Ebrahim Noroozi,2013
25,At the Dandora Dump,2013 Photo Contest,Contemporary Issues,"03 April, 2012",F:\Temp\2013\Micah Albert,"A woman sits on bags of waste she has salvaged, at the Dandora municipal dump, outside Nairobi, Kenya. She said that she enjoys looking at books, even industrial catalogues, as a break from picking up garbage.",1st prize singles,Micah Albert,2013
26,"Wounded Baby, Aleppo",2013 Photo Contest,General News,"03 October, 2012",F:\Temp\2013\Sebastiano Tomada,"A wounded child awaits treatment in one of the few hospitals left standing in the northern Syrian city of Aleppo, in October.",2nd prize,Sebastiano Tomada,2013
27,Bullfighter's Comeback,2013 Photo Contest,Observed Portraits,"04 March, 2012",F:\Temp\2013\Daniel Ochoa de Olza,"Spanish bullfighter Juan José Padilla (38), known as the ‘Cyclone of Jerez’, lost the sight in one eye and has partial paralysis of the face, after being gored by a bull in October 2011. Five months later he made a comeback, in the southwestern town of Olivenza.",2nd prize,Daniel Ochoa de Olza,2013
28,Life in War,2013 Photo Contest,Contemporary Issues,"06 April, 2010",F:\Temp\2013\Majid Saeedi,"The people of Afghanistan have had to deal with conflict and military occupation for much of the past 50 years. Conflict and long-term instability in Afghanistan have led to personal trauma, and severe economic and infrastructural damage.",2nd prize,Majid Saeedi,2013
29,Joy at the end of the run,2013 Photo Contest,Sports,"12 February, 2012",F:\Temp\2013\Wei Seng Chen,"A competitor and his charges reach the finish of a bull race, in Batu Sangkar, West Sumatra. Pacu Jawi is a 400-year-old tradition in the area, held after the rice harvest once the paddies have been cleared.",1st prize singles,Wei Seng Chen,2013
30,Martin,2013 Photo Contest,Observed Portraits,"17 February, 2011",F:\Temp\2013\Ananda van der Pluijm,"Martin (18) is the photographer’s half-brother. He returned to stay with their mother after living with his father for ten years. The photographer, who had had no contact with Martin over the previous decade, decided to use her camera to help get to know him again.",3rd prize,Ananda van der Pluijm,2013
31,Miss My Parents So Much,2013 Photo Contest,Staged Portraits,"09 February, 2012",F:\Temp\2013\Fu Yongjun,"The portrait series depicts children in the village of Zhangmu, Chongqing, in southwest China, both alone and with a much-loved teacher Fu Huaying.",3rd prize,Fu Yongjun,2013
32,Mournful,2013 Photo Contest,Staged Portraits,"24 November, 2012",F:\Temp\2013\Ebrahim Noroozi,"Women in the Iranian city of Khorramabad are dressed for the ceremony of Chehel Manbar. The commemoration of the battle of Karbala, when Hussein, a grandson of the Prophet Muhammad, was killed, is one of the most important ceremonies of the year for Shia Muslims.",2nd prize,Ebrahim Noroozi,2013
33,People of Mercy,2013 Photo Contest,Staged Portraits,"08 October, 2012",F:\Temp\2013\Stephan Vanfleteren,"People receiving treatment on Africa Mercy, a hospital ship docked at Conakry, Guinea.",1st prize,Stephan Vanfleteren,2013
34,Zuzia,2013 Photo Contest,Staged Portraits,"27 October, 2012",F:\Temp\2013\Anna Bedyńska,"Zuzia is a girl with albinism, and attends a school for partially sighted children in Warsaw. She dreams of meeting someone like herself.",3rd prize,Anna Bedyńska,2013
35,Ai Weiwei,2013 Photo Contest,Staged Portraits,"06 February, 2012",F:\Temp\2013\Stefen Chow,"Chinese artist and dissident Ai Weiwei is active across a number of media, including sculpture, installation, architecture, photography and film.",2nd prize,Stefen Chow,2013
36,Daniel Kaluuya,2013 Photo Contest,Staged Portraits,"04 January, 2012",F:\Temp\2013\Nadav Kander,"Daniel Kaluuya (23) is a British actor, comedian, and writer, best known for his role in the TV drama Skins, and as Special Agent Tucker in the 2011 Rowan Atkinson film Johnny English Reborn.",1st prize,Nadav Kander,2013
37,Siege of Aleppo,2013 Photo Contest,Spot News,"18 October, 2012",F:\Temp\2013\Javier Manzano,"In July, the rebel Free Syrian Army (FSA) entered Aleppo, Syria’s largest city and commercial capital. Rebel-held neighborhoods, initially in southwest Aleppo and later throughout the city, became battlefields, as government forces attempted to regain control.",3rd prize,Javier Manzano,2013
38,Gaza,2013 Photo Contest,Spot News,"18 November, 2012",F:\Temp\2013\Bernat  Armangue,"Israel launched a military offensive against targets in Hamas-ruled Gaza, on 14 November. Israeli authorities said that Operation Pillar of Defense was aimed at protecting citizens from the hundreds of missiles fired into Israel by militants in Gaza.",1st prize,Bernat  Armangue,2013
39,Collaborator,2013 Photo Contest,Spot News,"20 November, 2012",F:\Temp\2013\Adel Hana,"Palestinians drag the dead body of a suspected collaborator with Israel through the streets of Gaza City, on 20 November.",3rd prize,Adel Hana,2013
40,interrogation,2013 Photo Contest,Spot News,"31 July, 2012",F:\Temp\2013\Emin Özmen,"A man suspected of giving money to government informants is held at a school occupied by the dissident Free Syrian Army (FSA), in the northern city of Aleppo.",2nd prize,Emin Özmen,2013
41,Gaza Burial,2013 Photo Contest,Not Specified,"20 November, 2012",F:\Temp\2013\Paul Hansen,"The bodies of two-year-old Suhaib Hijazi and his elder brother Muhammad, almost four, are carried by their uncles to a mosque for their funeral, in Gaza City.",Spot News,Paul Hansen,2013
42,Thut Ti Gym,2013 Photo Contest,Sports Feature,"07 November, 2012",F:\Temp\2013\Vittore Buzzi,"Let Wei is an unarmed Burmese martial art, similar to the forms of kickboxing popular in Thailand and Cambodia. National champion Lone Chaw (36) is a folk hero in Myanmar and in 2007 began teaching at the Thut Ti Gym to pass on his knowledge to a younger generation of fighters.",3rd prize,Vittore Buzzi,2013
43,Battle to Death,2013 Photo Contest,Spot News,"11 October, 2012",F:\Temp\2013\Fabio Bucciarelli,The Syrian commercial hub of Aleppo was the scene of some of the bloodiest clashes in the ongoing uprising against the regime of President Bashar al-Assad. Both government and opposition forces considered control of Aleppo to be strategically important to their aims.,2nd prize,Fabio Bucciarelli,2013
44,I Just Want to Dunk,2013 Photo Contest,Sports Feature,"20 February, 2012",F:\Temp\2013\Jan Grarup,"Young women risk their lives to play basketball in Somalia. Even though Somalia’s UN-backed government has regained control of Mogadishu, al-Qaeda-linked militants are still active in the city. Al-Shabaab and other radical Islamist groups consider women playing sport to be un-Islamic.",1st prize,Jan Grarup,2013
45,Warm Up,2013 Photo Contest,Sports,"10 July, 2012",F:\Temp\2013\Yongzhi Chu,"Young gymnasts warm up at a juvenile sports school in Jiaxing, Zhejiang, China.",2nd prize,Yongzhi Chu,2013
46,Sumo Wrestlers,2013 Photo Contest,Sports Feature,"22 February, 2012",F:\Temp\2013\Denis Rouvre,"Sumo wrestling in Japan has a tradition that dates back centuries, yet the sport—which demands total dedication and extreme rigor—is attracting the lowest number of young recruits for more than half a century.",2nd prize,Denis Rouvre,2013
47,Synchronized Swimmer,2013 Photo Contest,Sports,"10 August, 2012",F:\Temp\2013\Wei Zheng,"A member of the Australian synchronized swimming team competes at the Olympic Games in London, on 10 August.",3rd prize,Wei Zheng,2013
48,I Just Want to Dunk,2013 Photo Contest,Sports,"20 February, 2012",F:\Temp\2013\Jan Grarup,"Young women risk their lives to play basketball in Somalia. Even though Somalia’s UN-backed government has regained control of Mogadishu, al-Qaeda-linked militants are still active in the city. Al-Shabaab and other radical Islamist groups consider women playing sport to be un-Islamic.",1st prize,Jan Grarup,2013
49,Cross Country Steeplechase,2013 Photo Contest,Sports,"11 August, 2012",F:\Temp\2013\Roman Vondrous,"The Velká Pardubická was first held in 1874, and has gained a reputation as one of the toughest and most grueling steeplechases in the world. Held each October in the town of Pardubice in the Czech Republic, the race has been run almost every year since its founding.",1st prize,Roman Vondrous,2013
50,Joy at the end of the run,2013 Photo Contest,Sports Action,"12 February, 2012",F:\Temp\2013\Wei Seng Chen,"A competitor and his charges reach the finish of a bull race, in Batu Sangkar, West Sumatra. Pacu Jawi is a 400-year-old tradition in the area, held after the rice harvest once the paddies have been cleared.",1st prize singles,Wei Seng Chen,2013
51,Sumo Wrestlers,2013 Photo Contest,Sports,"22 February, 2012",F:\Temp\2013\Denis Rouvre,"Sumo wrestling in Japan has a tradition that dates back centuries, yet the sport—which demands total dedication and extreme rigor—is attracting the lowest number of young recruits for more than half a century.",2nd prize,Denis Rouvre,2013
52,Synchronized Swimmer,2013 Photo Contest,Sports Action,"10 August, 2012",F:\Temp\2013\Wei Zheng,"A member of the Australian synchronized swimming team competes at the Olympic Games in London, on 10 August.",3rd prize,Wei Zheng,2013
53,Cross Country Steeplechase,2013 Photo Contest,Sports Action,"11 August, 2012",F:\Temp\2013\Roman Vondrous,"The Velká Pardubická was first held in 1874, and has gained a reputation as one of the toughest and most grueling steeplechases in the world. Held each October in the town of Pardubice in the Czech Republic, the race has been run almost every year since its founding.",1st prize,Roman Vondrous,2013
54,The Golden Touch,2013 Photo Contest,Sports Action,"01 August, 2012",F:\Temp\2013\Sergei Ilnitsky,"Years of training, thousands of battles, and hundreds of victories prepared fencing competitors for the opportunity to stand on the piste at the 2012 London Olympic Games to fight for gold.",2nd prize,Sergei Ilnitsky,2013
55,London 2012 - An Overview,2013 Photo Contest,Sports Action,"05 August, 2012",F:\Temp\2013\Chris McGrath,A bird’s eye view of the London 2012 Summer Olympics.,3rd prize,Chris McGrath,2013
56,Warm Up,2013 Photo Contest,Sports Action,"10 July, 2012",F:\Temp\2013\Yongzhi Chu,"Young gymnasts warm up at a juvenile sports school in Jiaxing, Zhejiang, China.",2nd prize,Yongzhi Chu,2013
