,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Japan After the Wave,2013 Photo Contest,General News,"02 March, 2012",F:\Temp\2013\Daniel Berehulak,"A year after the March 2011 earthquake and subsequent tsunami that devastated large areas of northeastern Japan, thousands of people remained without homes, and the Japanese government was still struggling to dispose of rubble and help rebuild livelihoods.",3rd prize,Daniel Berehulak,2013
1,The Crescent,2013 Photo Contest,General News,"30 August, 2012",F:\Temp\2013\Paolo Pellegrin,"The group of deprived neighborhoods known as the ‘Crescent’, around the northern edge of downtown Rochester, New York State, USA, is renowned for its high crime and murder rates.",2nd prize,Paolo Pellegrin,2013
2,Southern Cassowary,2013 Photo Contest,Nature,"16 November, 2012",F:\Temp\2013\Christian Ziegler,A southern cassowary (Casuarius casuarius) feeds on the fruit of the blue quandong tree.,1st prize,Christian Ziegler,2013
3,Mimin,2013 Photo Contest,Nature,"05 December, 2012",F:\Temp\2013\Ali Lutfi,"A long-tailed macaque, wearing patchwork clothing and a doll’s head, performs in Solo, Central Java.",2nd prize,Ali Lutfi,2013
4,Caribbean Trumpet Fish,2013 Photo Contest,Nature,"01 April, 2012",F:\Temp\2013\Randall Benton,"A Caribbean trumpetfish (Aulostomus maculatus), off the coast of Bonaire, in the Lesser Antilles.",3rd prize,Randall Benton,2013
5,Bonnie,2013 Photo Contest,Observed Portraits,"07 September, 2012",F:\Temp\2013\Marie Hald,"Bonnie Cleo Andersen (38), mother of three, has been a sex-worker in Denmark since the age of 18.",2nd prize,Marie Hald,2013
6,The Cage,2013 Photo Contest,Nature,"27 March, 2012",F:\Temp\2013\Xiaoqun Zheng,Caged animals in Chinese zoos.,2nd prize,Xiaoqun Zheng,2013
7,Whale Sharks,2013 Photo Contest,Nature,"28 August, 2008",F:\Temp\2013\Thomas P. Peschak,"Whale sharks (Rhincodon typus) are slow-moving, filter-feeding sharks found in tropical and warm oceans, and are the largest non-mammalian vertebrates on the planet.",3rd prize,Thomas P. Peschak,2013
8,Little Survivor,2013 Photo Contest,Observed Portraits,"27 February, 2012",F:\Temp\2013\Nemanja Pančić,"Milan (4) leaves the hospital on 27 February, three months after surviving a family suicide attempt in which both his father and mother died.",1st prize,Nemanja Pančić,2013
9,Syria Under Siege,2013 Photo Contest,General News,"08 August, 2012",F:\Temp\2013\Alessio Romenzi,"Ongoing conflict in Syria between troops and militia loyal to President Bashar al-Assad, and dissidents of the Free Syrian Army (FSA) and other rebel groups, led to escalating fatalities and a massive exodus of refugees.",1st prize,Alessio Romenzi,2013
10,Kayla,2013 Photo Contest,Observed Portraits,"19 February, 2012",F:\Temp\2013\Ilona Szwarc,"Kayla stands with her American Girl doll, in front of a portrait of her ancestors at home in Boston.",3rd prize,Ilona Szwarc,2013
11,Emperor Penguins,2013 Photo Contest,Nature,"19 November, 2011",F:\Temp\2013\Paul Nicklen,"The flightless emperor penguin is capable of becoming airborne, by swimming at up to three times its normal speed, and launching itself from the water to clear the edge of a shoreline. Recent research shows that the penguins do this by releasing air from their feathers, in the form of tiny bubbles.",1st prize,Paul Nicklen,2013
12,Sudan Border Wars,2013 Photo Contest,General News,"17 April, 2012",F:\Temp\2013\Dominic Nahr,"A Sudan Armed Forces (SAF) soldier lies dead in a pool of oil next to a leaking oil facility in the town of Heglig, after a clash with the Sudan People’s Liberation Army (SPLA).",3rd prize,Dominic Nahr,2013
13,Pool Hall Attack,2013 Photo Contest,Contemporary Issues,"11 March, 2012",F:\Temp\2013\Esteban  Felix,"Bodies lie on the floor of a pool hall, after an attack by unidentified masked assailants, in Choloma, on the outskirts of San Pedro Sula, Honduras.",2nd prize singles,Esteban  Felix,2013
14,Aida,2013 Photo Contest,General News,"10 March, 2012",F:\Temp\2013\Rodrigo Abd,"Aida cries as she recovers from severe injuries sustained during a Syrian military bombardment of her home, in the northern city of Idlib. Her husband and two children were killed in the attack.",1st prize,Rodrigo Abd,2013
15,El Salvador Gangs,2013 Photo Contest,Daily Life,"14 August, 2012",F:\Temp\2013\Tomás Munita,"Large-scale gang warfare has made El Salvador one of the most violent countries in the Americas. But on 9 March, leaders of the country’s two most powerful gangs agreed a truce, saying that the situation was getting out of hand, especially when it came to youth in their own communities.",3rd prize,Tomás Munita,2013
16,Migrant Sex Workers,2013 Photo Contest,Daily Life,"24 July, 2009",F:\Temp\2013\Paolo Patrizi,"For nearly twenty years, women from Benin City, in the state of Edo in Nigeria, have been going to Italy to earn money as sex workers, hoping to ensure a better future for their families.",2nd prize,Paolo Patrizi,2013
